Date,Strategy Portfolio,Buy & Hold Portfolio,NIFTY Bank
2024-11-06,1004696.5041705952,1131103.0748293265,1084651.3288285753
2024-11-07,1001917.2228291059,1123995.1876069764,1076339.8485954911
2024-11-08,997999.4406254111,1115899.5206577156,1068973.7050939745
2024-11-11,999610.4415045325,1122432.3055101705,1075515.746258437
2024-11-12,990932.7648962688,1105785.3871267275,1060610.3945252264
2024-11-13,982194.5056614476,1085458.0301428623,1038438.4297319538
2024-11-14,981322.1230534309,1088461.7827079669,1040329.1841799887
2024-11-18,981209.5929843768,1091263.716116292,1044149.0799184095
2024-11-19,979557.5638483788,1093180.7036039112,1049595.3953929795
2024-11-21,976352.2120547479,1088335.6854761662,1044337.6937492859
2024-11-22,983020.4921466097,1108508.2612086337,1060145.9461267393
2024-11-25,990997.0927098102,1132187.5754652638,1082372.8996667552
2024-11-26,990768.224545792,1128635.9492612565,1082041.1855185071
2024-11-27,991669.7989512142,1130125.0050949082,1084327.956124973
2024-11-28,989631.5449137689,1120840.1351918357,1076139.8158937888
2024-11-29,991031.7583451372,1125290.6939758537,1079223.7208657835
2024-12-02,991740.036870633,1125386.814335416,1080330.7844416022
2024-12-03,995554.0674476738,1137993.316343215,1092495.3642218919
2024-12-04,999223.0038293975,1145903.0858891048,1104336.4903136797
2024-12-05,1002031.6352317526,1155569.3640229446,1111316.0119051042
2024-12-06,1000468.5165494642,1155786.602316121,1109366.1384804528
2024-12-09,998067.0540174674,1151509.4783123836,1107256.6438189368
2024-12-10,998801.6809318818,1154999.6722997448,1110780.0538403809
2024-12-11,996929.1025445444,1150814.4786663018,1106916.6692109422
2024-12-12,995768.2445530348,1145232.4556633793,1103290.5703369644
2024-12-13,997205.3653485985,1156610.8653633718,1110906.5522533604
2024-12-16,996783.9420848476,1156267.788130792,1110855.7747213896
2024-12-17,992313.2121507424,1141983.8121597625,1095378.1836884914
2024-12-18,987647.0216616801,1128563.6568468425,1080964.1673403936
2024-12-19,983081.761071323,1115108.7025948204,1069274.3210408245
2024-12-20,983081.761071323,1097637.664799227,1052346.5334130332
2024-12-23,983081.761071323,1107165.1503060015,1063923.4057778353
2024-12-24,983081.761071323,1104417.910013627,1062169.434825013
2024-12-26,983081.761071323,1103688.9846177772,1060877.8066632918
2024-12-27,983081.761071323,1103502.430495963,1063792.7771349826
2024-12-30,983081.761071323,1091606.80444598,1056359.2541971032
2024-12-31,983081.761071323,1094278.4615880486,1054440.47897385
