Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS
2024-04-29,991855.9034410743,1027591.9165203394,1113001.7544339378,918522.4964872196,911375.7948446178
2024-04-30,988178.7728630375,1022299.5713337712,1116086.1320654931,921716.8168201443,911375.7948446178
2024-05-02,992931.6569332114,1016355.8208295804,1117295.896447741,914007.2214677274,911375.7948446178
2024-05-03,987983.1813190127,1017767.165887597,1118428.5510372831,909996.3344193758,911375.7948446178
2024-05-06,989176.3088383013,1020074.0855843063,1099295.0927730482,911029.0925379177,911375.7948446178
2024-05-07,982721.787885479,1012257.6855951546,1094521.8755833148,903367.5201741504,911375.7948446178
2024-05-08,971481.4520506223,1007426.711095862,1101722.1674258157,903823.8851566412,911375.7948446178
2024-05-09,971481.4520506223,1003464.2107597349,1109003.3913841182,897579.3720928683,911375.7948446178
2024-05-10,971481.4520506223,1004197.0500246016,1107021.2705418994,899716.8934948626,911375.7948446178
2024-05-13,971481.4520506223,1010140.7342684611,1100104.1176573038,905433.0364112341,911375.7948446178
2024-05-14,971481.4520506223,1006096.866245421,1107708.9713208931,901037.8481814299,911375.7948446178
2024-05-15,971481.4520506223,1008159.4841003974,1109407.9038262465,903535.6885886157,911375.7948446178
2024-05-16,971481.4520506223,1011796.3149078791,1102652.565794294,908939.594124573,911375.7948446178
2024-05-17,971481.4520506223,1011497.7458547606,1107425.7829840274,909924.2706183374,911375.7948446178
2024-05-21,971481.4520506223,1006313.9350909638,1117781.3410056706,908147.0095854071,911375.7948446178
2024-05-22,971481.4520506223,995474.4272771202,1108153.9251314418,902550.9534587235,911375.7948446178
2024-05-23,971481.4520506223,995474.4272771202,1118954.3875846732,921404.5794397302,911375.7948446178
2024-05-24,981942.7954635557,995310.1116463572,1116122.800489778,925607.617078808,911375.7948446178
2024-05-27,986053.194743549,994174.871945697,1120248.857026859,931852.130142581,911375.7948446178
2024-05-28,987149.3203327938,992669.899396809,1118185.8534477986,930122.8920983002,911375.7948446178
2024-05-29,978458.7809696738,979495.2660548867,1111309.1419316237,918762.6700665954,911375.7948446178
2024-05-30,981022.8585153234,985673.3369355066,1113897.9820580743,922701.4933139088,911375.7948446178
2024-05-31,987560.3793753731,989554.5005089878,1117538.5940372257,919915.5149748252,911375.7948446178
2024-06-03,1003473.4583587584,1010121.7281496449,1178458.20732486,949576.9520277465,911375.7948446178
2024-06-04,983872.6531351962,983530.3861648637,1141781.8735363125,922751.0752445679,911375.7948446178
2024-06-05,983872.6531351962,983530.3861648637,1141781.8735363125,941511.6324660152,911375.7948446178
2024-06-06,980732.9438179045,983530.3861648637,1141781.8735363125,935763.3281976609,911375.7948446178
2024-06-07,985876.966716638,983530.3861648637,1146461.503449711,942487.3765879618,911375.7948446178
2024-06-10,981335.9419323606,983530.3861648637,1147490.9745409377,948087.1597788433,909128.7683068786
2024-06-11,982654.9198037129,982078.8479433348,1149577.767805371,945796.3205514493,901880.6265639283
2024-06-12,986178.465773866,982595.8328262003,1151553.2586360879,942954.01655627,900679.6599252227
2024-06-13,988665.6719879566,977924.1311853128,1154224.3811863498,937333.0012727233,903674.9836051709
2024-06-14,994751.821937656,977273.1789720411,1151608.9268353132,940048.0680686869,901089.4106151885
2024-06-18,998859.5050803269,983859.4541949616,1154780.8593901987,944650.9268305482,901711.0864489176
2024-06-19,1017720.8610392865,992130.6046532243,1159065.7143880478,959392.8348383404,909425.463508147
2024-06-20,1022054.6454737297,996859.7542526148,1154140.8958698788,964844.1487373408,914949.8755517642
2024-06-21,1020697.9917207983,997568.1544243891,1149995.126458258,963974.4615075365,917606.119001691
2024-06-24,1023204.0588768271,1001952.6162727627,1147991.8185102954,960007.9440985295,916730.132995446
2024-06-25,1037882.3799299574,1012617.0421381418,1153306.1785641056,978398.1988389016,919372.2337297769
2024-06-26,1034170.4085496111,1020294.6883416357,1155031.2474101435,984316.204491802,923964.1320228004
2024-06-27,1032154.2658610035,1021022.2534141311,1154280.015420841,985822.1812888688,933119.6431776552
2024-06-28,1027500.1674296913,1013248.8761943525,1157034.5893228399,975768.008628007,925193.3409746625
2024-07-01,1035564.7381841218,1017939.695992301,1153139.2418958978,974346.8566304174,926775.7728721418
2024-07-02,1045136.7582223951,1009802.5596081048,1144346.8930680319,970740.9222975761,907876.7804898522
2024-07-03,1054306.2659730208,1014014.7243246299,1152026.2854882,982025.365264408,920625.1113725805
2024-07-04,1041334.6052430029,1026038.5493187152,1151664.5610698045,982407.180433239,927759.4078896409
2024-07-05,1023519.8143168984,1026191.7282935028,1163044.547131461,985016.1903370601,933568.6057575615
2024-07-08,1018582.0273315548,1026823.5623497136,1161096.87341799,985355.5413205607,933722.7044932594
2024-07-09,1019010.8476717842,1031878.1413120796,1163907.0815544801,986013.1147660803,932073.9373675225
2024-07-10,1015132.8934709004,1029944.3560856653,1157062.4064400855,986967.6267953617,926526.7120527215
2024-07-11,1013566.818465494,1028125.4667762568,1161347.2954026689,989131.1770379482,931041.5181602454
2024-07-12,1013865.0946240253,1026000.2662609336,1163016.7300142157,995279.8111234927,927451.257442577
2024-07-15,1013641.3761257526,1024870.6122225784,1175064.4627487038,989895.0755884252,930748.7446697189
2024-07-16,1012765.1187889776,1028680.734716904,1174702.7722950424,988331.9693494547,918960.9202659742
2024-07-18,1010919.384281356,1032663.1543430779,1181853.5036286071,990778.6161081179,925571.3657254593
2024-07-19,1008122.7892592038,1032031.3202868672,1179516.2883794948,983053.5683117141,923984.2474988679
2024-07-22,1021266.7858633192,1029159.3897983273,1172532.493714138,978590.734629428,900932.8264162878
2024-07-23,1012261.7407884896,1023645.2739115988,1157442.9288430396,969868.9314498693,900932.8264162878
2024-07-24,1006910.9314162711,1022209.3086673289,1146260.6311950092,963058.0638031563,900932.8264162878
2024-07-25,1011590.5397761742,1012597.923981081,1143450.8627220602,963058.0638031563,900932.8264162878
2024-07-26,1012168.5209544179,1008412.1756354163,1154649.8068639385,963058.0638031563,900932.8264162878
2024-07-29,1007283.810752558,1008412.1756354163,1161995.3150441363,963058.0638031563,900932.8264162878
2024-07-30,1011199.0437835712,1008412.1756354163,1162958.6740345564,963058.0638031563,900932.8264162878
2024-07-31,1011273.6014438297,1008412.1756354163,1162637.5870367321,963058.0638031563,900932.8264162878
2024-08-01,1019868.4883522431,1008412.1756354163,1154810.3748620874,963058.0638031563,896199.6494539423
2024-08-02,1027456.5737421834,1008412.1756354163,1142929.0289776942,963058.0638031563,899029.172876402
2024-08-05,1011273.6014438297,1008412.1756354163,1131859.7589984564,963058.0638031563,891221.8086040032
2024-08-06,1005848.1888938557,1008412.1756354163,1131859.7589984564,963058.0638031563,890409.5983809975
2024-08-07,1014163.4163000537,1008412.1756354163,1131859.7589984564,963058.0638031563,891981.5691635455
2024-08-08,1021322.6813497646,1008412.1756354163,1131859.7589984564,963058.0638031563,890985.9850028066
2024-08-09,1024119.2763719168,1008412.1756354163,1131859.7589984564,963058.0638031563,890173.8147566787
2024-08-12,1027810.7909046571,1008412.1756354163,1131859.7589984564,963058.0638031563,890933.6152930986
2024-08-13,1006593.9475664295,1008412.1756354163,1131859.7589984564,963058.0638031563,885562.7617590835
2024-08-14,1008309.2289273472,1008412.1756354163,1131859.7589984564,963058.0638031563,884475.4706410392
2024-08-16,1017370.1694886222,1008412.1756354163,1131859.7589984564,963058.0638031563,892178.0555171445
2024-08-19,1017165.1131641626,1008412.1756354163,1131859.7589984564,963058.0638031563,893239.1218034573
2024-08-20,1019458.2846683298,1008412.1756354163,1131859.7589984564,963058.0638031563,899605.5594982111
2024-08-21,1015021.0569805126,1008412.1756354163,1131859.7589984564,963058.0638031563,901518.0933013717
2024-08-22,1017071.8933300909,1008412.1756354163,1131859.7589984564,963058.0638031563,903758.1176861566
2024-08-23,1014741.3974782974,1008412.1756354163,1131859.7589984564,963058.0638031563,902841.168043735
2024-08-26,1020297.2631749754,1011088.4073328788,1131859.7589984564,963058.0638031563,901400.2014892122
2024-08-27,1019476.946842143,1017631.4248482607,1131859.7589984564,963058.0638031563,899002.9880215481
2024-08-28,1019234.566170057,1016377.9661820148,1131859.7589984564,963058.0638031563,895845.974017464
2024-08-29,1019775.2685181714,1015400.2929039575,1131859.7589984564,963058.0638031563,892164.9830781564
2024-08-30,1019160.0085097984,1019060.3554869738,1131859.7589984564,963058.0638031563,893095.0451364438
2024-09-02,1015449.8318032449,1019436.3930868476,1131859.7589984564,963058.0638031563,892950.9284925527
2024-09-03,1019327.7860041287,1028335.9496171938,1131859.7589984564,963058.0638031563,893881.0305277178
2024-09-04,1020987.126361104,1022645.2595132445,1131859.7589984564,963058.0638031563,893881.0305277178
2024-09-05,1022348.0995245537,1022444.6938858378,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-06,1019178.6251661145,1008506.2702396049,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-09,1022739.6410346539,1021968.404074279,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-10,1024175.2173758593,1023121.6105288398,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-11,1021770.1638638072,1022645.2595132445,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-12,1030234.5065905224,1030567.1427655334,1131859.7589984564,963058.0638031563,887385.934805152
2024-09-13,1029992.1259184364,1029664.6280442218,1131859.7589984564,963058.0638031563,881500.6488767699
2024-09-16,1031856.5225998713,1035931.9213754515,1131859.7589984564,966178.1017374884,884671.2029758734
2024-09-17,1031054.868440852,1038564.184574568,1131859.7589984564,966674.0740616523,889115.7311482696
2024-09-18,1040749.7311843131,1048717.19977116,1131859.7589984564,970618.4985343629,887103.395545139
2024-09-19,1045858.1598844456,1050547.2616646863,1131859.7589984564,971681.3705119224,896441.3361134327
2024-09-20,1058051.2959740304,1058941.0909002402,1131859.7589984564,972767.8849325591,905866.0933647165
2024-09-23,1064986.8880429657,1053331.3818825684,1131859.7589984564,973618.2055804048,914610.4552378588
2024-09-24,1068063.142567333,1051757.648040417,1131859.7589984564,970193.3958749353,908819.4953025494
2024-09-25,1072183.4319228057,1054261.2784718457,1131859.7589984564,983680.025702604,903969.5575204241
2024-09-26,1073805.4479321546,1056741.0997318071,1131859.7589984564,987931.513612842,905229.084237311
2024-09-27,1062320.7916850145,1046035.0641971515,1131859.7589984564,986065.6058735912,896586.074766601
2024-09-30,1051418.6580223541,1030011.8410786348,1131859.7589984564,966721.3012833114,891020.1708733791
2024-10-01,1050961.7943049418,1027022.4077155618,1131859.7589984564,964099.5850040286,899320.2720931232
2024-10-03,1034804.1746580737,1027141.0224863879,1131859.7589984564,959695.0399963757,882953.8204176173
2024-10-04,1028317.6702663203,1018989.3716995651,1131859.7589984564,959695.0399963757,878963.4019347262
2024-10-07,1028317.6702663203,1016116.6591560359,1131859.7589984564,959695.0399963757,870379.5992152957
2024-10-08,1028317.6702663203,1017442.5080394067,1131859.7589984564,959695.0399963757,870379.5992152957
2024-10-09,1028317.6702663203,1021150.0653880135,1131859.7589984564,959695.0399963757,870379.5992152957
2024-10-10,1028317.6702663203,1020830.861784435,1131859.7589984564,959695.0399963757,870379.5992152957
2024-10-11,1028317.6702663203,1010764.0493204799,1131859.7589984564,959695.0399963757,871927.5701015147
2024-10-14,1028317.6702663203,1015060.8595185095,1131859.7589984564,959695.0399963757,878739.4510754328
2024-10-15,1028317.6702663203,1026723.6300560185,1131859.7589984564,959695.0399963757,874997.7146700134
2024-10-16,1028317.6702663203,1020659.0013653815,1131859.7589984564,959695.0399963757,870476.4193476229
2024-10-17,1028317.6702663203,1014815.3275071934,1131859.7589984564,959695.0399963757,867526.2097355053
2024-10-18,1028317.6702663203,1031143.206259706,1138281.1495100188,959695.0399963757,869205.1893278076
2024-10-21,1032008.0936731201,1028466.9313140974,1132886.093709994,955639.442740606,848368.1009000976
2024-10-22,1026922.5921381696,1032616.398327602,1113187.9142097346,949042.4274155188,848368.1009000976
2024-10-23,1034559.8821344099,1024808.4683788861,1109507.5526114323,942082.7240237059,848368.1009000976
2024-10-24,1039537.5894280876,1025373.2039937805,1116659.1144615496,945233.8429602172,848368.1009000976
2024-10-25,1037291.3276644875,1026699.0528771514,1101989.2309341892,955208.678018597,848368.1009000976
2024-10-28,1033984.8040250882,1045064.8593124544,1101989.2309341892,947160.7997328587,848368.1009000976
2024-10-29,1040328.2560199548,1064216.3561951006,1101989.2309341892,954075.1740346901,848368.1009000976
2024-10-30,1034128.5735524186,1054542.4189269866,1096240.0284025338,946616.7399593331,848368.1009000976
2024-10-31,1034523.9068483522,1044770.2328877429,1094445.1017570042,941697.3437385525,848368.1009000976
2024-11-01,1035098.9849576738,1044549.278055294,1095242.8469327954,946231.3596741797,848368.1009000976
2024-11-04,1026760.8349678103,1037379.6953693965,1102143.3134890865,932493.2692504798,848368.1009000976
2024-11-05,1042484.6673130109,1046955.4438107196,1117579.7118549435,947206.1288228402,848368.1009000976
2024-11-06,1041550.2311938133,1049729.967527458,1122047.0653631727,944848.4626750638,848368.1009000976
2024-11-07,1038423.452367802,1038116.2914033444,1125876.232468869,941856.0232269246,848368.1009000976
2024-11-08,1041262.6921391524,1028368.6825429677,1112753.3632795082,942332.061692041,848368.1009000976
2024-11-11,1045521.6395407782,1024003.4432731317,1116343.2165705678,946888.7698460959,848368.1009000976
2024-11-12,1028234.373910272,1020507.1139656798,1099630.4453996457,941062.5704381899,848368.1009000976
2024-11-13,1017447.4693130947,1013215.5561185641,1085231.1547147182,929901.2374479503,848368.1009000976
